trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-807.704486820528,"{0: 73, 1: 6, 2: 21, 3: 6, 4: 14}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-66,-330.85680613282335,"{0: 58, 1: 7, 2: 13, 3: 4, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,-100,-685.6388289048086,"{0: 78, 1: 15, 2: 19, 3: 9, 4: 9}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,5,-141.4506085302603,"{0: 8, 1: 0, 2: 2, 3: 3, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",35,-100,-732.4744847975736,"{0: 85, 1: 11, 2: 20, 3: 8, 4: 11}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-100,-844.0101809741468,"{0: 61, 1: 16, 2: 25, 3: 6, 4: 12}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-32,-232.75167279951745,"{0: 30, 1: 5, 2: 13, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-100,-640.1201522116421,"{0: 69, 1: 11, 2: 30, 3: 1, 4: 9}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-441.84766371681866,"{0: 77, 1: 9, 2: 26, 3: 4, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-100,-547.7600117126992,"{0: 74, 1: 11, 2: 23, 3: 6, 4: 6}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,-100,-788.6227127514765,"{0: 71, 1: 13, 2: 26, 3: 12, 4: 8}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-627.6041758025631,"{0: 77, 1: 13, 2: 14, 3: 6, 4: 10}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,-100,-735.991094008133,"{0: 74, 1: 7, 2: 29, 3: 4, 4: 11}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-100,-742.1380216429907,"{0: 72, 1: 13, 2: 25, 3: 3, 4: 12}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-56,-440.9917617961805,"{0: 49, 1: 6, 2: 16, 3: 4, 4: 6}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.5067035960418,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",35,-100,-697.2950939737254,"{0: 81, 1: 12, 2: 27, 3: 6, 4: 9}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-15,-77.55995304389835,"{0: 27, 1: 1, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-100,-593.3324194530934,"{0: 77, 1: 9, 2: 27, 3: 5, 4: 7}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-100,-602.7431586885664,"{0: 74, 1: 13, 2: 25, 3: 6, 4: 7}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-100,-667.2301364993451,"{0: 76, 1: 10, 2: 25, 3: 4, 4: 10}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,-100,-677.8104641078185,"{0: 75, 1: 15, 2: 25, 3: 7, 4: 8}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-25,-135.10194647158238,"{0: 25, 1: 8, 2: 11, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,-100,-556.506465023916,"{0: 79, 1: 13, 2: 20, 3: 5, 4: 8}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-39,-241.656762986497,"{0: 39, 1: 6, 2: 9, 3: 1, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-100,-682.0247490589971,"{0: 68, 1: 7, 2: 31, 3: 6, 4: 8}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-100,-711.868017750682,"{0: 80, 1: 7, 2: 21, 3: 5, 4: 12}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-37,-223.82476067475082,"{0: 37, 1: 2, 2: 14, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-42,-268.5823410091773,"{0: 36, 1: 8, 2: 14, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,-84,-491.465297636248,"{0: 62, 1: 18, 2: 27, 3: 3, 4: 4}",0
